"Entertainment and Recreation Managers, Except Gambling","Skating Rink Manager"
"Entertainment and Recreation Managers, Except Gambling","Ski Resort Manager"
"Entertainment and Recreation Managers, Except Gambling","Tennis Club Manager"
"Entertainment and Recreation Managers, Except Gambling","Theme Park Manager"
"Lodging Managers","Bed and Breakfast Innkeeper"
"Lodging Managers","Boardinghouse Keeper"
"Lodging Managers","Hotel Director"
"Lodging Managers","Hotel Manager"
"Lodging Managers","Hotel Operations Manager"
"Lodging Managers","Innkeeper"
"Lodging Managers","Lodging Facilities Manager"
"Medical and Health Services Managers","Chief Medical Information Officer"
"Medical and Health Services Managers","Clinic Director"
"Medical and Health Services Managers","Clinical Informatics Director"
"Medical and Health Services Managers","Clinical Services Director"
"Medical and Health Services Managers","Emergency Medical Service Coordinator"
"Medical and Health Services Managers","Health Care Manager"
"Medical and Health Services Managers","Health Information Services Manager"
"Medical and Health Services Managers","Health Services Administrator"
"Medical and Health Services Managers","Health Services Director"
"Medical and Health Services Managers","Healthcare Administrator"
"Medical and Health Services Managers","Healthcare Manager"
"Medical and Health Services Managers","Hospice Director"
"Medical and Health Services Managers","Hospice Plan Administrator"
"Medical and Health Services Managers","Hospital Administrator"
"Medical and Health Services Managers","Hospital Director"
"Medical and Health Services Managers","Medical and Health Information Manager"
"Medical and Health Services Managers","Medical Director"
"Medical and Health Services Managers","Medical Records Administrator"
"Medical and Health Services Managers","Mental Health Program Manager"
"Medical and Health Services Managers","Nursing Home Manager"
"Medical and Health Services Managers","Nursing Service Director"
"Medical and Health Services Managers","Occupational Therapy Director"
"Medical and Health Services Managers","Public Health Administrator"
"Medical and Health Services Managers","Respiratory Therapy Director"
"Medical and Health Services Managers","Speech and Hearing Therapy Director"
"Medical and Health Services Managers","Wellness Director"
"Medical and Health Services Managers","Wellness Manager"
"Natural Sciences Managers","Agricultural Research Director"
"Natural Sciences Managers","Geochemical Manager"
"Natural Sciences Managers","Geophysical Manager"
"Natural Sciences Managers","Ocean Program Administrator"
"Postmasters and Mail Superintendents","Postal Supervisor"
"Postmasters and Mail Superintendents","Postmaster"
"Property, Real Estate, and Community Association Managers","Apartment Manager"
"Property, Real Estate, and Community Association Managers","Building Rental Manager"
"Property, Real Estate, and Community Association Managers","Community Association Manager"
"Property, Real Estate, and Community Association Managers","Condominium Association Manager"
"Property, Real Estate, and Community Association Managers","Homeowner Association Manager"
"Property, Real Estate, and Community Association Managers","Land Acquisition Manager"
"Property, Real Estate, and Community Association Managers","Leasing Property Manager"
"Property, Real Estate, and Community Association Managers","Property Manager"
"Property, Real Estate, and Community Association Managers","Real Estate Manager"
"Social and Community Service Managers","Child Welfare Director"
"Social and Community Service Managers","Community Service Director"
"Social and Community Service Managers","Community Service Organization Director"
"Social and Community Service Managers","Family Service Center Director"
"Social and Community Service Managers","Neighborhood Service Center Director"
"Social and Community Service Managers","Social Service Director"
"Social and Community Service Managers","Social Services Director"
"Social and Community Service Managers","Youth Program Director"
"Emergency Management Directors","Director of Civil Defense"
"Emergency Management Directors","Disaster Response Director"
"Emergency Management Directors","Emergency Management System Director"
"Emergency Management Directors","Emergency Planner"
"Emergency Management Directors","Emergency Planning and Response Manager"
"Emergency Management Directors","Emergency Preparedness Coordinator"
"Emergency Management Directors","Emergency Services Director"
"Emergency Management Directors","Emergency Services Program Coordinator"
"Emergency Management Directors","EMS Director"
"Emergency Management Directors","Public Safety Director"
"Funeral Home Managers","Funeral Home Director"
"Funeral Home Managers","Funeral Home Manager"
"Funeral Home Managers","Funeral Service Manager"
"Personal Service Managers, All Other","Day Spa Director"
"Personal Service Managers, All Other","Nail Salon Manager"
"Personal Service Managers, All Other","Travel Agency Manager"
"Managers, All Other","Clerk of Court"
"Managers, All Other","Environmental Control Administrator"
"Managers, All Other","Highway Patrol Commander"
"Managers, All Other","Safety Coordinator"
"Managers, All Other","Social Science Manager"
"Managers, All Other","Utilities Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Artist Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Artist Representative"
"Agents and Business Managers of Artists, Performers, and Athletes","Author's Agent"
"Agents and Business Managers of Artists, Performers, and Athletes","Band Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Booking Agent"
"Agents and Business Managers of Artists, Performers, and Athletes","Booking Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Fight Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Literary Agent"
"Agents and Business Managers of Artists, Performers, and Athletes","Modeling Agent"
"Agents and Business Managers of Artists, Performers, and Athletes","Talent Agent"
"Agents and Business Managers of Artists, Performers, and Athletes","Talent Manager"
"Agents and Business Managers of Artists, Performers, and Athletes","Theatrical Agent"
"Buyers and Purchasing Agents, Farm Products","Cattle Buyer"
"Buyers and Purchasing Agents, Farm Products","Cotton Broker"
"Buyers and Purchasing Agents, Farm Products","Cotton Buyer"
"Buyers and Purchasing Agents, Farm Products","Fruit Buyer"
"Buyers and Purchasing Agents, Farm Products","Grain Buyer"
"Buyers and Purchasing Agents, Farm Products","Hog Buyer"
"Buyers and Purchasing Agents, Farm Products","Livestock Buyer"
"Buyers and Purchasing Agents, Farm Products","Oyster Buyer"
"Buyers and Purchasing Agents, Farm Products","Purchasing Agent"
"Buyers and Purchasing Agents, Farm Products","Tobacco Buyer"
"Wholesale and Retail Buyers, Except Farm Products","Gold Buyer"
"Wholesale and Retail Buyers, Except Farm Products","Merchandise Buyer"
"Wholesale and Retail Buyers, Except Farm Products","Retail Buyer"
"Wholesale and Retail Buyers, Except Farm Products","Tie Buyer"
"Wholesale and Retail Buyers, Except Farm Products","Wholesale Buyer"
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Equipment"
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Radio Time Buyer"
"Claims Adjusters, Examiners, and Investigators","Claims Analyst"
"Claims Adjusters, Examiners, and Investigators","Fire Claims Adjuster"
"Claims Adjusters, Examiners, and Investigators","Health Claims Examiner"
"Claims Adjusters, Examiners, and Investigators","Health Insurance Adjuster"
"Claims Adjusters, Examiners, and Investigators","Independent Insurance Adjuster"
"Claims Adjusters, Examiners, and Investigators","Medical Claims Analyst"
"Claims Adjusters, Examiners, and Investigators","Medical Claims Examiner"
"Claims Adjusters, Examiners, and Investigators","Property and Casualty Insurance Claims Examiner"
"Claims Adjusters, Examiners, and Investigators","Property Damage Claims Adjustor"
"Claims Adjusters, Examiners, and Investigators","Reinsurance Claims Analyst"
"Claims Adjusters, Examiners, and Investigators","Workers Compensation Claims Adjuster"
"Claims Adjusters, Examiners, and Investigators","Workers Compensation Claims Examiner"
"Insurance Appraisers, Auto Damage","Auto Damage Appraiser"
"Insurance Appraisers, Auto Damage","Auto Damage Insurance Appraiser"
"Insurance Appraisers, Auto Damage","Automobile Damage Appraiser"
"Insurance Appraisers, Auto Damage","Vehicle Damage Appraiser"
"Compliance Officers","Air Pollution Compliance Inspector"
"Compliance Officers","Compliance Investigator"
"Compliance Officers","Driver's License Examiner"
"Compliance Officers","EEO Officer"
"Compliance Officers","Environmental Compliance Inspector"
"Compliance Officers","Equal Employment Opportunity Investigator"
"Compliance Officers","Equal Employment Opportunity Officer"
"Compliance Officers","Equal Employment Opportunity Representative"
"Compliance Officers","Immigration Investigator"
"Compliance Officers","Inspector of Weights and Measures"
"Compliance Officers","License Inspector"
"Compliance Officers","Mortician Investigator"
"Compliance Officers","Wage and Hour Investigator"
"Cost Estimators","Construction Estimator"
"Cost Estimators","Construction Job Cost Estimator"
"Cost Estimators","Crating and Moving Estimator"
"Cost Estimators","Electrical Estimator"
"Cost Estimators","Job Estimator"
"Cost Estimators","Production Cost Estimator"
"Human Resources Specialists","Corporate Recruiter"
"Human Resources Specialists","Credentialing Coordinator"
"Human Resources Specialists","Employee Placement Specialist"
"Human Resources Specialists","Human Resources Generalist"
"Human Resources Specialists","Job Placement Officer"
"Human Resources Specialists","Job Placement Specialist"
"Human Resources Specialists","Job Recruiter"
"Human Resources Specialists","Personnel Coordinator"
"Human Resources Specialists","Personnel Officer"
"Human Resources Specialists","Personnel Recruiter"
"Human Resources Specialists","Personnel Specialist"
"Human Resources Specialists","Staffing Coordinator"
"Human Resources Specialists","Student Recruiter"
"Human Resources Specialists","Volunteer Coordinator"
"Farm Labor Contractors","Farm Labor Contractor"
"Farm Labor Contractors","Harvesting Contractor"
"Labor Relations Specialists","Employee Relations Specialist"
"Labor Relations Specialists","Industrial Relations Analyst"
"Labor Relations Specialists","Industrial Relations Specialist"
"Labor Relations Specialists","Labor Relations Consultant"
"Labor Relations Specialists","Labor Relations Representative"
"Labor Relations Specialists","Union Representative"
"Logisticians","Logistician"
"Logisticians","Logistics Analyst"
"Logisticians","Logistics Coordinator"
